tag,climate_year,gas_price,co2_price,battery_scale,load_scale,ntc_scale,battery_duration,nuclear_scale,battery_extendable,matrix,scenario_id,output_file,status
bat1x_gas18_co2_80_cy2003_dur1x,2003,18.0,80.0,1,1.0,1.0,1,1.0,False,core,0,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas18_co2_80_cy2003_dur1x.nc,pending
bat1x_gas18_co2_80_cy2003_dur2x,2003,18.0,80.0,1,1.0,1.0,2,1.0,False,core,1,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas18_co2_80_cy2003_dur2x.nc,pending
bat1x_gas18_co2_80_cy2003_dur3x,2003,18.0,80.0,1,1.0,1.0,3,1.0,False,core,2,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas18_co2_80_cy2003_dur3x.nc,pending
bat1x_gas18_co2_80_cy2003_dur4x,2003,18.0,80.0,1,1.0,1.0,4,1.0,False,core,3,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas18_co2_80_cy2003_dur4x.nc,pending
bat2x_gas18_co2_80_cy2003_dur1x,2003,18.0,80.0,2,1.0,1.0,1,1.0,False,core,4,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas18_co2_80_cy2003_dur1x.nc,pending
bat2x_gas18_co2_80_cy2003_dur2x,2003,18.0,80.0,2,1.0,1.0,2,1.0,False,core,5,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas18_co2_80_cy2003_dur2x.nc,pending
bat2x_gas18_co2_80_cy2003_dur3x,2003,18.0,80.0,2,1.0,1.0,3,1.0,False,core,6,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas18_co2_80_cy2003_dur3x.nc,pending
bat2x_gas18_co2_80_cy2003_dur4x,2003,18.0,80.0,2,1.0,1.0,4,1.0,False,core,7,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas18_co2_80_cy2003_dur4x.nc,pending
bat4x_gas18_co2_80_cy2003_dur1x,2003,18.0,80.0,4,1.0,1.0,1,1.0,False,core,8,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas18_co2_80_cy2003_dur1x.nc,pending
bat4x_gas18_co2_80_cy2003_dur2x,2003,18.0,80.0,4,1.0,1.0,2,1.0,False,core,9,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas18_co2_80_cy2003_dur2x.nc,pending
bat4x_gas18_co2_80_cy2003_dur3x,2003,18.0,80.0,4,1.0,1.0,3,1.0,False,core,10,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas18_co2_80_cy2003_dur3x.nc,pending
bat4x_gas18_co2_80_cy2003_dur4x,2003,18.0,80.0,4,1.0,1.0,4,1.0,False,core,11,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas18_co2_80_cy2003_dur4x.nc,pending
bat8x_gas18_co2_80_cy2003_dur1x,2003,18.0,80.0,8,1.0,1.0,1,1.0,False,core,12,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas18_co2_80_cy2003_dur1x.nc,pending
bat8x_gas18_co2_80_cy2003_dur2x,2003,18.0,80.0,8,1.0,1.0,2,1.0,False,core,13,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas18_co2_80_cy2003_dur2x.nc,pending
bat8x_gas18_co2_80_cy2003_dur3x,2003,18.0,80.0,8,1.0,1.0,3,1.0,False,core,14,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas18_co2_80_cy2003_dur3x.nc,pending
bat8x_gas18_co2_80_cy2003_dur4x,2003,18.0,80.0,8,1.0,1.0,4,1.0,False,core,15,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas18_co2_80_cy2003_dur4x.nc,pending
bat1x_gas18_co2_113.4_cy2003_dur1x,2003,18.0,113.4,1,1.0,1.0,1,1.0,False,core,16,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas18_co2_113.4_cy2003_dur1x.nc,pending
bat1x_gas18_co2_113.4_cy2003_dur2x,2003,18.0,113.4,1,1.0,1.0,2,1.0,False,core,17,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas18_co2_113.4_cy2003_dur2x.nc,pending
bat1x_gas18_co2_113.4_cy2003_dur3x,2003,18.0,113.4,1,1.0,1.0,3,1.0,False,core,18,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas18_co2_113.4_cy2003_dur3x.nc,pending
bat1x_gas18_co2_113.4_cy2003_dur4x,2003,18.0,113.4,1,1.0,1.0,4,1.0,False,core,19,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas18_co2_113.4_cy2003_dur4x.nc,pending
bat2x_gas18_co2_113.4_cy2003_dur1x,2003,18.0,113.4,2,1.0,1.0,1,1.0,False,core,20,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas18_co2_113.4_cy2003_dur1x.nc,pending
bat2x_gas18_co2_113.4_cy2003_dur2x,2003,18.0,113.4,2,1.0,1.0,2,1.0,False,core,21,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas18_co2_113.4_cy2003_dur2x.nc,pending
bat2x_gas18_co2_113.4_cy2003_dur3x,2003,18.0,113.4,2,1.0,1.0,3,1.0,False,core,22,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas18_co2_113.4_cy2003_dur3x.nc,pending
bat2x_gas18_co2_113.4_cy2003_dur4x,2003,18.0,113.4,2,1.0,1.0,4,1.0,False,core,23,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas18_co2_113.4_cy2003_dur4x.nc,pending
bat4x_gas18_co2_113.4_cy2003_dur1x,2003,18.0,113.4,4,1.0,1.0,1,1.0,False,core,24,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas18_co2_113.4_cy2003_dur1x.nc,pending
bat4x_gas18_co2_113.4_cy2003_dur2x,2003,18.0,113.4,4,1.0,1.0,2,1.0,False,core,25,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas18_co2_113.4_cy2003_dur2x.nc,pending
bat4x_gas18_co2_113.4_cy2003_dur3x,2003,18.0,113.4,4,1.0,1.0,3,1.0,False,core,26,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas18_co2_113.4_cy2003_dur3x.nc,pending
bat4x_gas18_co2_113.4_cy2003_dur4x,2003,18.0,113.4,4,1.0,1.0,4,1.0,False,core,27,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas18_co2_113.4_cy2003_dur4x.nc,pending
bat8x_gas18_co2_113.4_cy2003_dur1x,2003,18.0,113.4,8,1.0,1.0,1,1.0,False,core,28,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas18_co2_113.4_cy2003_dur1x.nc,pending
bat8x_gas18_co2_113.4_cy2003_dur2x,2003,18.0,113.4,8,1.0,1.0,2,1.0,False,core,29,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas18_co2_113.4_cy2003_dur2x.nc,pending
bat8x_gas18_co2_113.4_cy2003_dur3x,2003,18.0,113.4,8,1.0,1.0,3,1.0,False,core,30,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas18_co2_113.4_cy2003_dur3x.nc,pending
bat8x_gas18_co2_113.4_cy2003_dur4x,2003,18.0,113.4,8,1.0,1.0,4,1.0,False,core,31,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas18_co2_113.4_cy2003_dur4x.nc,pending
bat1x_gas18_co2_140_cy2003_dur1x,2003,18.0,140.0,1,1.0,1.0,1,1.0,False,core,32,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas18_co2_140_cy2003_dur1x.nc,pending
bat1x_gas18_co2_140_cy2003_dur2x,2003,18.0,140.0,1,1.0,1.0,2,1.0,False,core,33,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas18_co2_140_cy2003_dur2x.nc,pending
bat1x_gas18_co2_140_cy2003_dur3x,2003,18.0,140.0,1,1.0,1.0,3,1.0,False,core,34,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas18_co2_140_cy2003_dur3x.nc,pending
bat1x_gas18_co2_140_cy2003_dur4x,2003,18.0,140.0,1,1.0,1.0,4,1.0,False,core,35,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas18_co2_140_cy2003_dur4x.nc,pending
bat2x_gas18_co2_140_cy2003_dur1x,2003,18.0,140.0,2,1.0,1.0,1,1.0,False,core,36,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas18_co2_140_cy2003_dur1x.nc,pending
bat2x_gas18_co2_140_cy2003_dur2x,2003,18.0,140.0,2,1.0,1.0,2,1.0,False,core,37,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas18_co2_140_cy2003_dur2x.nc,pending
bat2x_gas18_co2_140_cy2003_dur3x,2003,18.0,140.0,2,1.0,1.0,3,1.0,False,core,38,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas18_co2_140_cy2003_dur3x.nc,pending
bat2x_gas18_co2_140_cy2003_dur4x,2003,18.0,140.0,2,1.0,1.0,4,1.0,False,core,39,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas18_co2_140_cy2003_dur4x.nc,pending
bat4x_gas18_co2_140_cy2003_dur1x,2003,18.0,140.0,4,1.0,1.0,1,1.0,False,core,40,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas18_co2_140_cy2003_dur1x.nc,pending
bat4x_gas18_co2_140_cy2003_dur2x,2003,18.0,140.0,4,1.0,1.0,2,1.0,False,core,41,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas18_co2_140_cy2003_dur2x.nc,pending
bat4x_gas18_co2_140_cy2003_dur3x,2003,18.0,140.0,4,1.0,1.0,3,1.0,False,core,42,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas18_co2_140_cy2003_dur3x.nc,pending
bat4x_gas18_co2_140_cy2003_dur4x,2003,18.0,140.0,4,1.0,1.0,4,1.0,False,core,43,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas18_co2_140_cy2003_dur4x.nc,pending
bat8x_gas18_co2_140_cy2003_dur1x,2003,18.0,140.0,8,1.0,1.0,1,1.0,False,core,44,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas18_co2_140_cy2003_dur1x.nc,pending
bat8x_gas18_co2_140_cy2003_dur2x,2003,18.0,140.0,8,1.0,1.0,2,1.0,False,core,45,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas18_co2_140_cy2003_dur2x.nc,pending
bat8x_gas18_co2_140_cy2003_dur3x,2003,18.0,140.0,8,1.0,1.0,3,1.0,False,core,46,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas18_co2_140_cy2003_dur3x.nc,pending
bat8x_gas18_co2_140_cy2003_dur4x,2003,18.0,140.0,8,1.0,1.0,4,1.0,False,core,47,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas18_co2_140_cy2003_dur4x.nc,pending
bat1x_gas22.68_co2_80_cy2003_dur1x,2003,22.68,80.0,1,1.0,1.0,1,1.0,False,core,48,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas22.68_co2_80_cy2003_dur1x.nc,pending
bat1x_gas22.68_co2_80_cy2003_dur2x,2003,22.68,80.0,1,1.0,1.0,2,1.0,False,core,49,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas22.68_co2_80_cy2003_dur2x.nc,pending
bat1x_gas22.68_co2_80_cy2003_dur3x,2003,22.68,80.0,1,1.0,1.0,3,1.0,False,core,50,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas22.68_co2_80_cy2003_dur3x.nc,pending
bat1x_gas22.68_co2_80_cy2003_dur4x,2003,22.68,80.0,1,1.0,1.0,4,1.0,False,core,51,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas22.68_co2_80_cy2003_dur4x.nc,pending
bat2x_gas22.68_co2_80_cy2003_dur1x,2003,22.68,80.0,2,1.0,1.0,1,1.0,False,core,52,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas22.68_co2_80_cy2003_dur1x.nc,pending
bat2x_gas22.68_co2_80_cy2003_dur2x,2003,22.68,80.0,2,1.0,1.0,2,1.0,False,core,53,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas22.68_co2_80_cy2003_dur2x.nc,pending
bat2x_gas22.68_co2_80_cy2003_dur3x,2003,22.68,80.0,2,1.0,1.0,3,1.0,False,core,54,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas22.68_co2_80_cy2003_dur3x.nc,pending
bat2x_gas22.68_co2_80_cy2003_dur4x,2003,22.68,80.0,2,1.0,1.0,4,1.0,False,core,55,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas22.68_co2_80_cy2003_dur4x.nc,pending
bat4x_gas22.68_co2_80_cy2003_dur1x,2003,22.68,80.0,4,1.0,1.0,1,1.0,False,core,56,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas22.68_co2_80_cy2003_dur1x.nc,pending
bat4x_gas22.68_co2_80_cy2003_dur2x,2003,22.68,80.0,4,1.0,1.0,2,1.0,False,core,57,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas22.68_co2_80_cy2003_dur2x.nc,pending
bat4x_gas22.68_co2_80_cy2003_dur3x,2003,22.68,80.0,4,1.0,1.0,3,1.0,False,core,58,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas22.68_co2_80_cy2003_dur3x.nc,pending
bat4x_gas22.68_co2_80_cy2003_dur4x,2003,22.68,80.0,4,1.0,1.0,4,1.0,False,core,59,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas22.68_co2_80_cy2003_dur4x.nc,pending
bat8x_gas22.68_co2_80_cy2003_dur1x,2003,22.68,80.0,8,1.0,1.0,1,1.0,False,core,60,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas22.68_co2_80_cy2003_dur1x.nc,pending
bat8x_gas22.68_co2_80_cy2003_dur2x,2003,22.68,80.0,8,1.0,1.0,2,1.0,False,core,61,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas22.68_co2_80_cy2003_dur2x.nc,pending
bat8x_gas22.68_co2_80_cy2003_dur3x,2003,22.68,80.0,8,1.0,1.0,3,1.0,False,core,62,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas22.68_co2_80_cy2003_dur3x.nc,pending
bat8x_gas22.68_co2_80_cy2003_dur4x,2003,22.68,80.0,8,1.0,1.0,4,1.0,False,core,63,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas22.68_co2_80_cy2003_dur4x.nc,pending
bat1x_gas22.68_co2_113.4_cy2003_dur1x,2003,22.68,113.4,1,1.0,1.0,1,1.0,False,core,64,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas22.68_co2_113.4_cy2003_dur1x.nc,pending
bat1x_gas22.68_co2_113.4_cy2003_dur2x,2003,22.68,113.4,1,1.0,1.0,2,1.0,False,core,65,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas22.68_co2_113.4_cy2003_dur2x.nc,pending
bat1x_gas22.68_co2_113.4_cy2003_dur3x,2003,22.68,113.4,1,1.0,1.0,3,1.0,False,core,66,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas22.68_co2_113.4_cy2003_dur3x.nc,pending
bat1x_gas22.68_co2_113.4_cy2003_dur4x,2003,22.68,113.4,1,1.0,1.0,4,1.0,False,core,67,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas22.68_co2_113.4_cy2003_dur4x.nc,pending
bat2x_gas22.68_co2_113.4_cy2003_dur1x,2003,22.68,113.4,2,1.0,1.0,1,1.0,False,core,68,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas22.68_co2_113.4_cy2003_dur1x.nc,pending
bat2x_gas22.68_co2_113.4_cy2003_dur2x,2003,22.68,113.4,2,1.0,1.0,2,1.0,False,core,69,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas22.68_co2_113.4_cy2003_dur2x.nc,pending
bat2x_gas22.68_co2_113.4_cy2003_dur3x,2003,22.68,113.4,2,1.0,1.0,3,1.0,False,core,70,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas22.68_co2_113.4_cy2003_dur3x.nc,pending
bat2x_gas22.68_co2_113.4_cy2003_dur4x,2003,22.68,113.4,2,1.0,1.0,4,1.0,False,core,71,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas22.68_co2_113.4_cy2003_dur4x.nc,pending
bat4x_gas22.68_co2_113.4_cy2003_dur1x,2003,22.68,113.4,4,1.0,1.0,1,1.0,False,core,72,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas22.68_co2_113.4_cy2003_dur1x.nc,pending
bat4x_gas22.68_co2_113.4_cy2003_dur2x,2003,22.68,113.4,4,1.0,1.0,2,1.0,False,core,73,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas22.68_co2_113.4_cy2003_dur2x.nc,pending
bat4x_gas22.68_co2_113.4_cy2003_dur3x,2003,22.68,113.4,4,1.0,1.0,3,1.0,False,core,74,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas22.68_co2_113.4_cy2003_dur3x.nc,pending
bat4x_gas22.68_co2_113.4_cy2003_dur4x,2003,22.68,113.4,4,1.0,1.0,4,1.0,False,core,75,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas22.68_co2_113.4_cy2003_dur4x.nc,pending
bat8x_gas22.68_co2_113.4_cy2003_dur1x,2003,22.68,113.4,8,1.0,1.0,1,1.0,False,core,76,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas22.68_co2_113.4_cy2003_dur1x.nc,pending
bat8x_gas22.68_co2_113.4_cy2003_dur2x,2003,22.68,113.4,8,1.0,1.0,2,1.0,False,core,77,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas22.68_co2_113.4_cy2003_dur2x.nc,pending
bat8x_gas22.68_co2_113.4_cy2003_dur3x,2003,22.68,113.4,8,1.0,1.0,3,1.0,False,core,78,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas22.68_co2_113.4_cy2003_dur3x.nc,pending
bat8x_gas22.68_co2_113.4_cy2003_dur4x,2003,22.68,113.4,8,1.0,1.0,4,1.0,False,core,79,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas22.68_co2_113.4_cy2003_dur4x.nc,pending
bat1x_gas22.68_co2_140_cy2003_dur1x,2003,22.68,140.0,1,1.0,1.0,1,1.0,False,core,80,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas22.68_co2_140_cy2003_dur1x.nc,pending
bat1x_gas22.68_co2_140_cy2003_dur2x,2003,22.68,140.0,1,1.0,1.0,2,1.0,False,core,81,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas22.68_co2_140_cy2003_dur2x.nc,pending
bat1x_gas22.68_co2_140_cy2003_dur3x,2003,22.68,140.0,1,1.0,1.0,3,1.0,False,core,82,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas22.68_co2_140_cy2003_dur3x.nc,pending
bat1x_gas22.68_co2_140_cy2003_dur4x,2003,22.68,140.0,1,1.0,1.0,4,1.0,False,core,83,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas22.68_co2_140_cy2003_dur4x.nc,pending
bat2x_gas22.68_co2_140_cy2003_dur1x,2003,22.68,140.0,2,1.0,1.0,1,1.0,False,core,84,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas22.68_co2_140_cy2003_dur1x.nc,pending
bat2x_gas22.68_co2_140_cy2003_dur2x,2003,22.68,140.0,2,1.0,1.0,2,1.0,False,core,85,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas22.68_co2_140_cy2003_dur2x.nc,pending
bat2x_gas22.68_co2_140_cy2003_dur3x,2003,22.68,140.0,2,1.0,1.0,3,1.0,False,core,86,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas22.68_co2_140_cy2003_dur3x.nc,pending
bat2x_gas22.68_co2_140_cy2003_dur4x,2003,22.68,140.0,2,1.0,1.0,4,1.0,False,core,87,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas22.68_co2_140_cy2003_dur4x.nc,pending
bat4x_gas22.68_co2_140_cy2003_dur1x,2003,22.68,140.0,4,1.0,1.0,1,1.0,False,core,88,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas22.68_co2_140_cy2003_dur1x.nc,pending
bat4x_gas22.68_co2_140_cy2003_dur2x,2003,22.68,140.0,4,1.0,1.0,2,1.0,False,core,89,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas22.68_co2_140_cy2003_dur2x.nc,pending
bat4x_gas22.68_co2_140_cy2003_dur3x,2003,22.68,140.0,4,1.0,1.0,3,1.0,False,core,90,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas22.68_co2_140_cy2003_dur3x.nc,pending
bat4x_gas22.68_co2_140_cy2003_dur4x,2003,22.68,140.0,4,1.0,1.0,4,1.0,False,core,91,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas22.68_co2_140_cy2003_dur4x.nc,pending
bat8x_gas22.68_co2_140_cy2003_dur1x,2003,22.68,140.0,8,1.0,1.0,1,1.0,False,core,92,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas22.68_co2_140_cy2003_dur1x.nc,pending
bat8x_gas22.68_co2_140_cy2003_dur2x,2003,22.68,140.0,8,1.0,1.0,2,1.0,False,core,93,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas22.68_co2_140_cy2003_dur2x.nc,pending
bat8x_gas22.68_co2_140_cy2003_dur3x,2003,22.68,140.0,8,1.0,1.0,3,1.0,False,core,94,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas22.68_co2_140_cy2003_dur3x.nc,pending
bat8x_gas22.68_co2_140_cy2003_dur4x,2003,22.68,140.0,8,1.0,1.0,4,1.0,False,core,95,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat8x_gas22.68_co2_140_cy2003_dur4x.nc,pending
bat1x_gas35_co2_80_cy2003_dur1x,2003,35.0,80.0,1,1.0,1.0,1,1.0,False,core,96,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas35_co2_80_cy2003_dur1x.nc,pending
bat1x_gas35_co2_80_cy2003_dur2x,2003,35.0,80.0,1,1.0,1.0,2,1.0,False,core,97,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas35_co2_80_cy2003_dur2x.nc,pending
bat1x_gas35_co2_80_cy2003_dur3x,2003,35.0,80.0,1,1.0,1.0,3,1.0,False,core,98,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas35_co2_80_cy2003_dur3x.nc,pending
bat1x_gas35_co2_80_cy2003_dur4x,2003,35.0,80.0,1,1.0,1.0,4,1.0,False,core,99,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat1x_gas35_co2_80_cy2003_dur4x.nc,pending
bat2x_gas35_co2_80_cy2003_dur1x,2003,35.0,80.0,2,1.0,1.0,1,1.0,False,core,100,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas35_co2_80_cy2003_dur1x.nc,pending
bat2x_gas35_co2_80_cy2003_dur2x,2003,35.0,80.0,2,1.0,1.0,2,1.0,False,core,101,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas35_co2_80_cy2003_dur2x.nc,pending
bat2x_gas35_co2_80_cy2003_dur3x,2003,35.0,80.0,2,1.0,1.0,3,1.0,False,core,102,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas35_co2_80_cy2003_dur3x.nc,pending
bat2x_gas35_co2_80_cy2003_dur4x,2003,35.0,80.0,2,1.0,1.0,4,1.0,False,core,103,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat2x_gas35_co2_80_cy2003_dur4x.nc,pending
bat4x_gas35_co2_80_cy2003_dur1x,2003,35.0,80.0,4,1.0,1.0,1,1.0,False,core,104,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas35_co2_80_cy2003_dur1x.nc,pending
bat4x_gas35_co2_80_cy2003_dur2x,2003,35.0,80.0,4,1.0,1.0,2,1.0,False,core,105,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas35_co2_80_cy2003_dur2x.nc,pending
bat4x_gas35_co2_80_cy2003_dur3x,2003,35.0,80.0,4,1.0,1.0,3,1.0,False,core,106,/Users/radovanhodor/Documents/TUKE/Final diplomova praca/scenarios/networks_core/bat4x_gas35_co2_80_cy2003_dur3x.nc,pending
